Fault,Va,Vb,Vc,Ia,Ib,Ic
Healthy,-237822.8414,-518279.1945,756102.0359,-450.0716602,349.2661883,100.8054719
Healthy,-167525.8502,-569982.3927,737508.2429,-461.5765248,317.7909479,143.7855769
Healthy,-95741.89091,-616626.3865,712368.2774,-468.9849138,283.4950387,185.4898751
Healthy,-23108.12314,-657797.1604,680905.2835,-472.2310699,246.6828738,225.5481961
Healthy,49730.75068,-693129.2796,643398.529,-471.2861799,207.6812004,263.6049796
Healthy,122128.2075,-722309.1339,600180.9264,-466.1586308,166.8362002,299.3224306
Healthy,193441.6425,-745077.7208,551636.0783,-456.8939351,124.5104163,332.3835187
Healthy,263038.0724,-761232.9446,498194.8722,-443.5743267,81.07953541,362.4947913
Healthy,330299.7545,-770631.4105,440331.656,-426.3180316,36.92905303,389.3889786
Healthy,394629.6693,-773189.697,378560.0277,-405.2782179,-7.549148008,412.8273659
Healthy,455456.8199,-768885.0966,313428.2767,-380.6416363,-51.96027604,432.6019123
Healthy,512241.3003,-757755.8173,245514.517,-352.6269629,-95.91013475,448.5370976
Healthy,564479.0873,-739900.6432,175421.5559,-321.482858,-139.0086221,460.4914801
Healthy,611706.5146,-715478.0582,103771.5436,-287.4857588,-180.8731928,468.3589516
Healthy,653504.3884,-684704.8389,31200.45048,-250.937426,-221.1322541,472.06968
Healthy,689501.7076,-647854.1305,-41647.57713,-212.1622652,-259.4284635,471.5907287
Healthy,719378.9576,-605253.0226,-114125.935,-171.5044474,-295.4219014,466.9263487
Healthy,742870.9457,-557279.6455,-185591.3002,-129.3248543,-328.7930873,458.1179415
Healthy,759769.1554,-504359.8145,-255409.341,-85.99787495,-359.2458162,445.2436912
Healthy,769923.5971,-446963.2496,-322960.3475,-41.90808272,-386.5097876,428.4178703
Healthy,773244.139,-385599.4068,-387644.7322,2.553178306,-410.3430046,407.7898263
Healthy,769701.308,-320812.956,-448888.352,46.99126683,-430.5339217,383.5426549
Healthy,759326.5504,-253178.9463,-506147.6041,91.01174723,-446.9033231,355.8915759
Healthy,742211.9532,-183297.7018,-558914.2514,134.2238906,-459.3059127,325.0820221
Healthy,718509.4269,-111789.4936,-606719.9334,176.2441429,-467.6316043,291.3874614
Healthy,688429.3568,-39289.03345,-649140.3234,216.6995295,-471.8064984,255.106969
Healthy,652238.7357,33560.15935,-685798.8951,255.2309653,-471.7935385,216.5625731
Healthy,610258.7941,106111.4702,-716370.2644,291.4964428,-467.5928394,176.0963966
Healthy,562862.149,177720.9286,-740583.0776,325.1740669,-459.241687,134.0676201
